LA.Code,LA.Name,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,Patient.Count_before,Patient.Count_after,Patient.Count.QCOVID_before,Patient.Count.QCOVID_after,Shielders_pct_before,Shielders_pct_after,Shielders_from_QCOVID_pct_before,Shielders_from_QCOVID_pct_after,Patient.Count_diff,Shielders_pct_diff
E08000027,Dudley,3,2,2,1,West Midlands,321596,12530,20135,,7485,3.89619273871566,6.26096095722584,,37.1740749937919,7605,2.36476821851018
E06000025,South Gloucestershire,9,5,8,4,South West,285093,11100,16260,,5000,3.8934663425619,5.70340204775284,,30.750307503075,5160,1.80993570519094
E07000121,Lancaster,3,2,4,2,North West,146038,5680,9265,,3325,3.88939864966653,6.34423917062682,,35.887749595251,3585,2.4548405209603
E07000219,Nuneaton and Bedworth,4,2,4,2,West Midlands,129883,5050,8230,,3120,3.88811468783444,6.33647205561929,,37.910085054678,3180,2.44835736778485
E06000016,Leicester,1,1,1,1,East Midlands,354224,13755,29560,,15795,3.88313609467456,8.34500203261213,,53.4336941813261,15805,4.46186593793758
E07000151,Daventry,8,4,9,5,East Midlands,85950,3330,4670,,1265,3.87434554973822,5.43339150668994,,27.0877944325482,1340,1.55904595695172
E08000009,Trafford,7,4,6,3,North West,237354,9195,14615,,5265,3.87396041355949,6.15746943384144,,36.0246322271639,5420,2.28350902028194
E07000062,Hastings,1,1,1,1,South East,92661,3585,6810,,3190,3.86894162592677,7.34937028523327,,46.8428781204112,3225,3.48042865930651
E06000026,Plymouth,2,1,3,2,South West,262100,10135,17400,,7090,3.86684471575734,6.63868752384586,,40.7471264367816,7265,2.77184280808852
E07000111,Sevenoaks,8,4,8,4,South East,120750,4660,7075,,2275,3.8592132505176,5.8592132505176,,32.1554770318021,2415,2
E07000242,East Hertfordshire,10,5,10,5,East of England,149748,5760,8015,,2235,3.84646205625451,5.35232523973609,,27.8852152214598,2255,1.50586318348158
E07000042,Mid Devon,6,3,7,4,South West,82311,3165,4800,,1590,3.84517257717681,5.83154134927288,,33.125,1635,1.98636877209607
E07000122,Pendle,2,1,2,1,North West,92112,3535,6145,,2565,3.83771929824561,6.67122633315963,,41.7412530512612,2610,2.83350703491402
E07000044,South Hams,8,4,7,4,South West,87004,3335,5195,,1780,3.83315709622546,5.97098983954761,,34.2637151106834,1860,2.13783274332215
E07000165,Harrogate,9,5,10,5,Yorkshire and The Humber,160831,6160,9745,,3480,3.83010737979618,6.05915526235614,,35.7106208311955,3585,2.22904788255995
E06000008,Blackburn with Darwen,1,1,1,1,North West,149696,5730,10905,,5130,3.82775758871313,7.28476378794357,,47.0426409903714,5175,3.45700619923044
E07000238,Wychavon,7,4,7,4,West Midlands,129433,4950,7500,,2455,3.82437245524712,5.79450372007139,,32.7333333333333,2550,1.97013126482427
E07000135,Oadby and Wigston,8,4,7,4,East Midlands,57015,2180,3770,,1565,3.82355520477067,6.61229501008507,,41.5119363395226,1590,2.78873980531439
E07000153,Kettering,5,3,5,3,East Midlands,101776,3890,6615,,2645,3.82211916365351,6.49956767803804,,39.9848828420257,2725,2.67744851438453
E06000019,"Herefordshire, County of",5,3,6,3,West Midlands,192801,7340,11415,,3995,3.80703419588073,5.9206124449562,,34.9978098992554,4075,2.11357824907547
E07000132,Hinckley and Bosworth,8,4,8,4,East Midlands,113136,4300,6880,,2500,3.80073539810494,6.0811766369679,,36.3372093023256,2580,2.28044123886296
E09000002,Barking and Dagenham,1,1,1,1,London,212906,8090,17615,,9515,3.79979897231642,8.27360431364076,,54.0164632415555,9525,4.47380534132434
E08000019,Sheffield,2,1,2,1,Yorkshire and The Humber,584853,22220,39365,,16845,3.79924528043799,6.73075114601447,,42.7918201447987,17145,2.93150586557648
E07000154,Northampton,4,2,4,2,East Midlands,224610,8525,16025,,7375,3.79546769956814,7.13458884288322,,46.0218408736349,7500,3.33912114331508
